valid_from,valid_to,fuel_type,percentage
2026-01-20 12:00:00,2026-01-20 12:30:00,coal,25.0
2026-01-20 12:00:00,2026-01-20 12:30:00,gas,35.0
2026-01-20 12:00:00,2026-01-20 12:30:00,wind,20.0
2026-01-20 12:00:00,2026-01-20 12:30:00,nuclear,20.0
2026-01-20 12:30:00,2026-01-20 13:00:00,coal,22.0
2026-01-20 12:30:00,2026-01-20 13:00:00,gas,38.0
2026-01-20 12:30:00,2026-01-20 13:00:00,wind,18.0
2026-01-20 12:30:00,2026-01-20 13:00:00,nuclear,22.0
2026-01-21 12:00:00,2026-01-21 12:30:00,coal,20.0
2026-01-21 12:00:00,2026-01-21 12:30:00,gas,32.0
2026-01-21 12:00:00,2026-01-21 12:30:00,wind,28.0
2026-01-21 12:00:00,2026-01-21 12:30:00,nuclear,20.0
2026-01-21 12:30:00,2026-01-21 13:00:00,coal,18.0
2026-01-21 12:30:00,2026-01-21 13:00:00,gas,35.0
2026-01-21 12:30:00,2026-01-21 13:00:00,wind,30.0
2026-01-21 12:30:00,2026-01-21 13:00:00,nuclear,17.0
